"Speaker","Rand","Pros","Word","Durw","Fvowel","DurFvowel","stress"
"EM","rand1","Stat","mali",0.44,"i",0.1,0
"EM","rand1","Stat","cile",0.47,"e",0.11,0
"EM","rand1","Stat","pupi",0.46,"i",0.12,0
"EM","rand1","Stat","casa",0.46,"a",0.09,0
"EM","rand1","Stat","como'",0.31,"o",0.08,1
"EM","rand1","Stat","pate'",0.36,"e",0.12,1
"EM","rand1","Stat","mose'",0.44,"e",0.17,1
"EM","rand1","Stat","bepi",0.41,"i",0.08,0
"EM","rand1","Stat","mimi'",0.35,"i",0.12,1
"EM","rand1","Stat","kepi'",0.35,"i",0.11,1
"EM","rand1","Stat","gile'",0.3,"e",0.13,1
"EM","rand1","Stat","para'",0.33,"a",0.13,1
"EM","rand1","Stat","tate",0.42,"e",0.09,0
"EM","rand1","Stat","case",0.45,"e",0.08,0
"EM","rand1","Stat","maro'",0.29,"o",0.11,1
"EM","rand1","Stat","toto'",0.35,"o",0.13,1
"EM","rand1","Stat","bara",0.41,"a",0.11,0
"ER","rand3","Query","sede",0.41,"e",0.12,0
"ER","rand3","Query","pate'",0.51,"e",0.29,1
"ER","rand3","Query","como'",0.48,"o",0.26,1
"ER","rand3","Query","kali'",0.42,"i",0.25,1
"ER","rand3","Query","palo",0.44,"o",0.12,0
"ER","rand3","Query","tito",0.41,"o",0.15,0
"ER","rand3","Query","rita",0.39,"a",0.14,0
"ER","rand3","Query","gile'",0.62,"e",0.25,1
"ER","rand3","Query","mali",0.43,"i",0.12,0
"ER","rand3","Query","pipi'",0.48,"i",0.26,1
"ER","rand3","Query","casa",0.46,"a",0.14,0
"ER","rand3","Query","ramo",0.41,"o",0.12,0
"ER","rand3","Query","case",0.46,"e",0.14,0
"ER","rand3","Query","kepi'",0.44,"i",0.23,1
"ER","rand3","Query","meta'",0.46,"a",0.26,1
"ER","rand3","Query","pupi",0.43,"i",0.12,0
"ER","rand3","Query","bide'",0.46,"e",0.28,1
"ER","rand3","Query","baro",0.43,"o",0.15,0
"ER","rand3","Query","tana",0.42,"a",0.13,0
"ER","rand3","Query","remi",0.37,"i",0.11,0
"ER","rand3","Query","bepi",0.45,"i",0.1,0
"ER","rand3","Query","maro'",0.43,"o",0.27,1
"ER","rand3","Query","falo'",0.44,"o",0.24,1
"ER","rand3","Query","tate",0.45,"e",0.13,0
"ER","rand3","Query","mose'",0.52,"e",0.29,1
"ER","rand3","Query","bara",0.45,"a",0.14,0
"ER","rand3","Query","cile",0.47,"e",0.13,0
"ER","rand3","Query","nana'",0.46,"a",0.28,1
"ER","rand3","Query","para'",0.48,"a",0.3,1
"ER","rand3","Query","toto'",0.47,"o",0.28,1
"ER","rand3","Query","mimi'",0.47,"i",0.25,1
"ER","rand3","Query","sofa'",0.54,"a",0.28,1
"ER","rand3","Stat","palo",0.41,"o",0.1,0
"ER","rand3","Stat","meta'",0.29,"a",0.08,1
"ER","rand3","Stat","maro'",0.31,"o",0.11,1
"ER","rand3","Stat","remi",0.3,"i",0.07,0
"ER","rand3","Stat","bide'",0.32,"e",0.13,1
"ER","rand3","Stat","mimi'",0.32,"i",0.1,1
"ER","rand3","Stat","falo'",0.32,"o",0.11,1
"ER","rand3","Stat","nana'",0.28,"a",0.11,1
"ER","rand3","Stat","sede",0.38,"e",0.11,0
"ER","rand3","Stat","cile",0.44,"e",0.11,0
"ER","rand3","Stat","case",0.4,"e",0.1,0
"ER","rand3","Stat","mali",0.42,"i",0.11,0
"ER","rand3","Stat","pupi",0.41,"i",0.1,0
"ER","rand3","Stat","tito",0.38,"o",0.1,0
"ER","rand3","Stat","kepi'",0.35,"i",0.11,1
"ER","rand3","Stat","para'",0.34,"a",0.13,1
"ER","rand3","Stat","como'",0.31,"o",0.11,1
"ER","rand3","Stat","tana",0.35,"a",0.1,0
"ER","rand3","Stat","kali'",0.33,"i",0.12,1
"ER","rand3","Stat","bepi",0.41,"i",0.08,0
"ER","rand3","Stat","ramo",0.37,"o",0.08,0
"ER","rand3","Stat","mose'",0.35,"e",0.1,1
"ER","rand3","Stat","pipi'",0.3,"i",0.07,1
"ER","rand3","Stat","casa",0.4,"a",0.11,0
"ER","rand3","Stat","rita",0.33,"a",0.11,0
"ER","rand3","Stat","baro",0.4,"o",0.12,0
"ER","rand3","Stat","gile'",0.31,"e",0.13,1
"ER","rand3","Stat","toto'",0.3,"o",0.1,1
"ER","rand3","Stat","bara",0.38,"a",0.11,0
"ER","rand3","Stat","sofa'",0.34,"a",0.08,1
"ER","rand3","Stat","pate'",0.36,"e",0.14,1
"ER","rand3","Stat","tate",0.37,"e",0.1,0
"FB","rand4","Query","ramo",0.52,"o",0.12,0
"FB","rand4","Query","sede",0.49,"e",0.16,0
"FB","rand4","Query","tana",0.51,"a",0.16,0
"FB","rand4","Query","maro'",0.58,"o",0.29,1
"FB","rand4","Query","kepi'",0.58,"i",0.27,1
"FB","rand4","Query","tate",0.49,"e",0.13,0
"FB","rand4","Query","pupi",0.49,"i",0.15,0
"FB","rand4","Query","meta'",0.53,"a",0.29,1
"FB","rand4","Query","bide'",0.48,"e",0.26,1
"FB","rand4","Query","tito",0.49,"o",0.16,0
"FB","rand4","Query","mali",0.5,"i",0.15,0
"FB","rand4","Query","gile'",0.51,"e",0.26,1
"FB","rand4","Query","mimi'",0.52,"i",0.26,1
"FB","rand4","Query","para'",0.52,"a",0.28,1
"FB","rand4","Query","mose'",0.57,"e",0.3,1
"FB","rand4","Query","bara",0.51,"a",0.17,0
"FB","rand4","Query","cile",0.54,"e",0.16,0
"FB","rand4","Query","toto'",0.57,"o",0.29,1
"FB","rand4","Query","sofa'",0.61,"a",0.28,1
"FB","rand4","Query","como'",0.54,"o",0.29,1
"FB","rand4","Query","palo",0.52,"o",0.14,0
"FB","rand4","Query","nana'",0.5,"a",0.28,1
"FB","rand4","Query","pipi'",0.52,"i",0.26,1
"FB","rand4","Query","bepi",0.53,"i",0.15,0
"FB","rand4","Query","baro",0.52,"o",0.17,0
"FB","rand4","Query","casa",0.47,"a",0.12,0
"FB","rand4","Query","falo'",0.57,"o",0.28,1
"FB","rand4","Query","pate'",0.57,"e",0.29,1
"FB","rand4","Query","rita",0.4,"a",0.15,0
"FB","rand4","Query","kali'",0.47,"i",0.24,1
"FB","rand4","Query","remi",0.44,"i",0.14,0
"FB","rand4","Query","case",0.52,"e",0.14,0
"FB","rand4","Stat","bepi",0.49,"i",0.12,0
"FB","rand4","Stat","como'",0.37,"o",0.11,1
"FB","rand4","Stat","nana'",0.33,"a",0.14,1
"FB","rand4","Stat","case",0.51,"e",0.12,0
"FB","rand4","Stat","para'",0.37,"a",0.14,1
"FB","rand4","Stat","tito",0.54,"o",0.15,0
"FB","rand4","Stat","tate",0.49,"e",0.14,0
"FB","rand4","Stat","mali",0.45,"i",0.11,0
"FB","rand4","Stat","sofa'",0.46,"a",0.16,1
"FB","rand4","Stat","cile",0.49,"e",0.12,0
"FB","rand4","Stat","baro",0.51,"o",0.16,0
"FB","rand4","Stat","remi",0.43,"i",0.13,0
