"Speaker","Rand","Pros","Word","Durw","Fvowel","DurFvowel","stress"
"VM","rand2","Query","ramo",0.53,"o",0.15,0
"VM","rand2","Query","bara",0.55,"a",0.17,0
"VM","rand2","Query","cile",0.56,"e",0.16,0
"VM","rand2","Query","mose'",0.5,"e",0.26,1
"VM","rand2","Stat","mimi'",0.32,"i",0.09,1
"VM","rand2","Stat","casa",0.52,"a",0.12,0
"VM","rand2","Stat","baro",0.52,"o",0.17,0
"VM","rand2","Stat","como'",0.29,"o",0.05,1
"VM","rand2","Stat","gile'",0.29,"e",0.12,1
"VM","rand2","Stat","rita",0.47,"a",0.15,0
"VM","rand2","Stat","bara",0.56,"a",0.16,0
"VM","rand2","Stat","tana",0.51,"a",0.14,0
"VM","rand2","Stat","pupi",0.57,"i",0.14,0
"VM","rand2","Stat","para'",0.33,"a",0.13,1
"VM","rand2","Stat","sede",0.54,"e",0.18,0
"VM","rand2","Stat","palo",0.47,"o",0.08,0
"VM","rand2","Stat","mose'",0.33,"e",0.11,1
"VM","rand2","Stat","nana'",0.33,"a",0.1,1
"VM","rand2","Stat","mali",0.49,"i",0.14,0
"VM","rand2","Stat","pipi'",0.36,"i",0.11,1
"VM","rand2","Stat","bepi",0.48,"i",0.12,0
"VM","rand2","Stat","falo'",0.3,"o",0.09,1
"VM","rand2","Stat","remi",0.41,"i",0.13,0
"VM","rand2","Stat","kali'",0.29,"i",0.09,1
"VM","rand2","Stat","case",0.53,"e",0.14,0
"VM","rand2","Stat","kepi'",0.36,"i",0.12,1
"VM","rand2","Stat","pate'",0.38,"e",0.12,1
"VM","rand2","Stat","toto'",0.3,"o",0.05,1
"VM","rand2","Stat","ramo",0.49,"o",0.1,0
"VM","rand2","Stat","tate",0.51,"e",0.12,0
"VM","rand2","Stat","cile",0.53,"e",0.14,0
"VM","rand2","Stat","maro'",0.27,"o",0.09,1
"VM","rand2","Stat","tito",0.41,"o",0.11,0
"VM","rand2","Stat","sofa'",0.37,"a",0.12,1
"VM","rand2","Stat","bide'",0.32,"e",0.12,1
"VM","rand2","Stat","meta'",0.36,"a",0.14,1
