"Speaker","Rand","Position","Word","Durw","Vowel","Durvowel","stress"
"MM","rand1","prefinal","como'",0.36,"o",0.15,1
"MM","rand1","prefinal","sede",0.48,"e",0.14,0
"MM","rand1","prefinal","bara",0.45,"a",0.11,0
"MM","rand1","prefinal","gile'",0.34,"e",0.15,1
"MM","rand1","prefinal","kali'",0.41,"i",0.19,1
"MM","rand1","prefinal","toto'",0.4,"o",0.17,1
"MM","rand1","prefinal","para'",0.4,"a",0.19,1
"MM","rand1","prefinal","tito",0.43,"o",0.1,0
"MM","rand1","prefinal","sofa'",0.43,"a",0.17,1
"MM","rand1","prefinal","mimi'",0.35,"i",0.14,1
"MM","rand1","prefinal","nana'",0.35,"a",0.16,1
"MM","rand1","prefinal","palo",0.42,"o",0.09,0
"MM","rand1","prefinal","mose'",0.43,"e",0.17,1
"MM","rand1","prefinal","ramo",0.42,"o",0.08,0
"MM","rand1","prefinal","mali",0.43,"i",0.1,0
"MM","rand1","prefinal","rita",0.37,"a",0.11,0
"MM","rand1","prefinal","pupi",0.39,"i",0.07,0
"NL","rand2","prefinal","casa",0.48,"a",0.08,0
"NL","rand2","prefinal","gile'",0.34,"e",0.15,1
"NL","rand2","prefinal","pupi",0.49,"i",0.1,0
"NL","rand2","prefinal","nana'",0.38,"a",0.15,1
"NL","rand2","prefinal","meta'",0.35,"a",0.15,1
"NL","rand2","prefinal","pate'",0.42,"e",0.15,1
"NL","rand2","prefinal","palo",0.47,"o",0.08,0
"NL","rand2","prefinal","tate",0.47,"e",0.09,0
"NL","rand2","prefinal","tana",0.43,"a",0.09,0
"NL","rand2","prefinal","bara",0.46,"a",0.11,0
"NL","rand2","prefinal","baro",0.46,"o",0.11,0
"NL","rand2","prefinal","toto'",0.39,"o",0.15,1
"NL","rand2","prefinal","mimi'",0.37,"i",0.13,1
"NL","rand2","prefinal","rita",0.4,"a",0.12,0
"NL","rand2","prefinal","como'",0.37,"o",0.15,1
"NL","rand2","prefinal","tito",0.53,"o",0.12,0
"NL","rand2","prefinal","kepi'",0.46,"i",0.15,1
"NL","rand2","prefinal","remi",0.45,"i",0.11,0
"NL","rand2","prefinal","falo'",0.39,"o",0.15,1
"NL","rand2","prefinal","cile",0.56,"e",0.13,0
"NL","rand2","prefinal","mose'",0.42,"e",0.15,1
"NL","rand2","prefinal","pipi'",0.42,"i",0.14,1
"NL","rand2","prefinal","case",0.48,"e",0.1,0
"NL","rand2","prefinal","para'",0.43,"a",0.19,1
"NL","rand2","prefinal","bide'",0.39,"e",0.17,1
"NL","rand2","prefinal","kali'",0.43,"i",0.18,1
"NL","rand2","prefinal","sede",0.47,"e",0.11,0
"NL","rand2","prefinal","maro'",0.37,"o",0.17,1
"NL","rand2","prefinal","bepi",0.49,"i",0.11,0
"NL","rand2","prefinal","ramo",0.48,"o",0.1,0
"NL","rand2","prefinal","sofa'",0.51,"a",0.17,1
"NL","rand2","prefinal","mali",0.49,"i",0.1,0
"PG","rand3","prefinal","meta'",0.35,"a",0.14,1
"PG","rand3","prefinal","como'",0.35,"o",0.13,1
"PG","rand3","prefinal","pipi'",0.38,"i",0.16,1
"PG","rand3","prefinal","cile",0.39,"e",0.1,0
"PG","rand3","prefinal","kepi'",0.37,"i",0.14,1
"PG","rand3","prefinal","sofa'",0.41,"a",0.15,1
"PG","rand3","prefinal","case",0.47,"e",0.11,0
