Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
EM,rand1,List,kepi',0.40,i',0.14,maro',0.25,o',0.09
EM,rand1,List,como',0.41,o',0.16,pupi,0.46,i ,0.11
EM,rand1,List,sede,0.46,e,0.14,sofa',0.42,a',0.12
EM,rand1,List,bara,0.48,a,0.13,cile,0.44,e,0.11
EM,rand1,List,gile',0.36,e',0.17,toto',0.35,o',0.11
EM,rand1,List,kali',0.39,i',0.15,kepi',0.36,i',0.11
EM,rand1,List,toto',0.46,o',0.20,bide',0.35,e',0.15
EM,rand1,List,para',0.39,a',0.17,pate',0.35,e',0.11
EM,rand1,List,tito,0.47,o,0.14,remi,0.41,i,0.14
EM,rand1,List,sofa',0.47,a',0.14,bara,0.38,a,0.11
EM,rand1,List,mimi',0.36,i',0.13,meta',0.33,a',0.09
EM,rand1,List,nana',0.32,a',0.11,bepi,0.43,i,0.09
EM,rand1,List,palo,0.51,o,0.14,tate,0.40,e,0.09
EM,rand1,List,mose',0.43,e',0.15,casa,0.43,a,0.08
EM,rand1,List,ramo,0.42,o,0.10,como',0.34,o',0.12
EM,rand1,List,mali,0.45,i,0.13,baro,0.40,o,0.11
EM,rand1,List,rita,0.41,a,0.14,ramo,0.39,o,0.08
EM,rand1,List,pupi,0.44,i,0.12,mimi',0.34,i',0.10
ER,rand3,List,meta',0.38,a',0.16,case,0.39,e,0.10
ER,rand3,List,como',0.37,o',0.14,pupi,0.41,i,0.09
ER,rand3,List,pipi',0.33,i',0.11,gile',0.28,e',0.09
ER,rand3,List,cile,0.40,e,0.07,pipi',0.29,i',0.07
ER,rand3,List,kepi',0.35,i',0.11,maro',0.30,o',0.11
ER,rand3,List,sofa',0.42,a',0.16,bara,0.40,a,0.10
ER,rand3,List,case,0.40,e,0.08,sede,0.38,e,0.09
ER,rand3,List,maro',0.35,o',0.16,rita,0.32,a,0.10
ER,rand3,List,casa,0.40,a,0.09,mali,0.41,i,0.10
ER,rand3,List,sede,0.41,e,0.10,sofa',0.31,a',0.06
