Speaker,Rand,Pros,Word,Durw,Fvowel,DurFvowel
FF,rand2,Query,pate',0.61,e',0.35
FF,rand2,Query,tana,0.55,a,0.21
FF,rand2,Query,rita,0.46,a,0.2
FF,rand2,Query,bepi,0.59,i,0.23
FF,rand2,Query,como',0.55,o',0.31
FF,rand2,Query,baro,0.57,o,0.21
FF,rand2,Query,mali,0.53,i,0.17
FF,rand2,Query,kepi',0.56,i',0.3
FF,rand2,Query,palo,0.55,o,0.18
FF,rand2,Query,mimi',0.5,i',0.27
FF,rand2,Query,ramo,0.54,o,0.16
FF,rand2,Query,bara,0.57,a,0.22
FF,rand2,Query,cile,0.58,e,0.19
FF,rand2,Query,mose',0.57,e',0.32
FF,rand2,Stat,mimi',0.39,i',0.15
FF,rand2,Stat,casa,0.48,a,0.12
FF,rand2,Stat,baro,0.48,o,0.13
FF,rand2,Stat,como',0.36,o',0.11
FF,rand2,Stat,gile',0.37,e',0.15
FF,rand2,Stat,rita,0.38,a,0.12
FF,rand2,Stat,bara,0.47,a,0.12
FF,rand2,Stat,tana,0.44,a,0.13
FF,rand2,Stat,pupi,0.49,i,0.13
FF,rand2,Stat,para',0.4,a',0.16
FF,rand2,Stat,sede,0.46,e,0.13
FF,rand2,Stat,palo,0.51,o,0.15
FF,rand2,Stat,mose',0.43,e',0.2
FF,rand2,Stat,nana',0.35,a',0.13
FF,rand2,Stat,mali,0.49,i,0.14
FF,rand2,Stat,pipi',0.38,i',0.14
FF,rand2,Stat,bepi,0.52,i,0.14
FF,rand2,Stat,falo',0.43,o',0.15
FF,rand2,Stat,remi,0.42,i,0.14
FF,rand2,Stat,kali',0.4,i',0.15
FF,rand2,Stat,case,0.54,e,0.15
FF,rand2,Stat,kepi',0.39,i',0.12
FF,rand2,Stat,pate',0.45,e',0.15
FF,rand2,Stat,toto',0.37,o',0.13
FF,rand2,Stat,ramo,0.5,o,0.12
FF,rand2,Stat,tate,0.49,e,0.14
FF,rand2,Stat,cile,0.52,e,0.18
FF,rand2,Stat,maro',0.34,o',0.13
FF,rand2,Stat,tito,0.46,o,0.13
FF,rand2,Stat,sofa',0.48,a',0.15
FF,rand2,Stat,bide',0.41,e',0.19
FF,rand2,Stat,meta',0.38,a',0.16
MM,rand1,Query,mose',0.43,e',0.2
MM,rand1,Query,maro',0.38,o',0.2
MM,rand1,Query,gile',0.39,e',0.21
MM,rand1,Query,tito,0.46,o,0.17
MM,rand1,Query,palo,0.47,o,0.13
MM,rand1,Query,casa,0.49,a,0.15
MM,rand1,Query,nana',0.36,a',0.18
MM,rand1,Query,sede,0.42,e,0.15
MM,rand1,Query,remi,0.35,i,0.1
MM,rand1,Query,falo',0.42,o',0.2
MM,rand1,Query,mali,0.39,i,0.1
MM,rand1,Query,baro,0.4,o,0.13
MM,rand1,Query,tana,0.38,a,0.12
MM,rand1,Query,para',0.4,a',0.21
MM,rand1,Query,bide',0.42,e',0.22
MM,rand1,Query,meta',0.41,a',0.21
MM,rand1,Query,cile,0.47,e,0.14
MM,rand1,Query,pipi',0.4,i',0.2
MM,rand1,Query,pate',0.43,e',0.21
MM,rand1,Query,bara,0.44,a,0.12
MM,rand1,Query,ramo,0.4,o,0.1
MM,rand1,Query,tate,0.45,e,0.15
MM,rand1,Query,pupi,0.39,i,0.12
MM,rand1,Query,mimi',0.41,i',0.18
MM,rand1,Query,case,0.45,e,0.13
MM,rand1,Query,kali',0.39,i',0.19
MM,rand1,Query,rita,0.37,a,0.15
MM,rand1,Query,bepi,0.46,i,0.13
MM,rand1,Query,toto',0.44,o',0.22
MM,rand1,Query,sofa',0.46,a',0.21
MM,rand1,Query,kepi',0.46,i',0.22
MM,rand1,Query,como',0.48,o',0.22
MM,rand1,Stat,bide',0.34,e',0.14
MM,rand1,Stat,palo,0.45,o,0.09
MM,rand1,Stat,nana',0.31,a',0.11
MM,rand1,Stat,baro,0.41,o,0.12
MM,rand1,Stat,meta',0.32,a',0.11
MM,rand1,Stat,tana,0.38,a,0.11
MM,rand1,Stat,tito,0.39,o,0.11
MM,rand1,Stat,sofa',0.38,a',0.11
MM,rand1,Stat,falo',0.33,o',0.09
MM,rand1,Stat,sede,0.4,e,0.1
MM,rand1,Stat,ramo,0.42,o,0.1
MM,rand1,Stat,kali',0.34,i',0.12
MM,rand1,Stat,pipi',0.32,i',0.09
MM,rand1,Stat,remi,0.33,i,0.09
MM,rand1,Stat,rita,0.37,a,0.12
MM,rand1,Stat,mali,0.4,i,0.1
MM,rand1,Stat,cile,0.43,e,0.1
MM,rand1,Stat,pupi,0.42,i,0.1
MM,rand1,Stat,casa,0.43,a,0.11
MM,rand1,Stat,como',0.33,o',0.1
MM,rand1,Stat,pate',0.36,e',0.11
MM,rand1,Stat,mose',0.37,e',0.12
MM,rand1,Stat,bepi,0.39,i,0.07
MM,rand1,Stat,mimi',0.32,i',0.09
MM,rand1,Stat,kepi',0.31,i',0.08
MM,rand1,Stat,gile',0.27,e',0.11
MM,rand1,Stat,para',0.35,a',0.14
MM,rand1,Stat,tate,0.38,e,0.1
MM,rand1,Stat,case,0.43,e,0.1
MM,rand1,Stat,maro',0.3,o',0.11
MM,rand1,Stat,toto',0.35,o',0.13
MM,rand1,Stat,bara,0.45,a,0.11
NL,rand2,Query,gile',0.43,e',0.21
NL,rand2,Query,tito,0.41,o,0.13
NL,rand2,Query,bide',0.39,e',0.21
NL,rand2,Query,para',0.41,a',0.23
NL,rand2,Query,tate,0.42,e,0.1
NL,rand2,Query,maro',0.39,o',0.2
NL,rand2,Query,nana',0.39,a',0.21
NL,rand2,Query,remi,0.39,i,0.12
NL,rand2,Query,casa,0.46,a,0.13
NL,rand2,Query,toto',0.41,o',0.21
NL,rand2,Query,sede,0.42,e,0.12
NL,rand2,Query,kali',0.4,i',0.19
NL,rand2,Query,pipi',0.38,i',0.16
NL,rand2,Query,case,0.46,e,0.11
NL,rand2,Query,sofa',0.48,a',0.21
NL,rand2,Query,falo',0.38,o',0.17
NL,rand2,Query,meta',0.39,a',0.19
NL,rand2,Query,pupi,0.46,i,0.12
